Layer,Name,GEOID,Population,Longitude,Latitude,CHABXHK_2023-2024,CHAKNKC_2023,CHARIPZ_2023-2024,CHASBQJ_2023-2024,CHASWYW_2023-2024,CHAVCNN_2023,HCSNL_2023-2024,HCSNLP_2023-2024,PMC_2020,TRF_2020,LNG_2023,HCSOB_2023-2024,HCSHYT_2023-2024,HCSDIA_2023-2024,HCSATH_2023-2024,PCT-W_2020-2024,POP_2020-2024
Community area,Rogers Park,1,55454,-87.670171,42.00963,32.29721632,0,33600,62.96972896,17100,0,27000,50.62135925,8.66452276,243.4688639,5.371190466,15500,15600,5200,4600,44.90256848,54023.51405
Community area,Norwood Park,10,41069,-87.803451,41.985248,46.05079399,0,16300,63.68578569,11800,0,18600,72.77282655,9.004154815,427.2974463,5.648500027,5700,9500,4600,2100,71.70275824,42638.43086
Community area,Jefferson Park,11,26201,-87.771165,41.978836,39.89649755,0,15200,64.34169998,9400,0,16400,69.32133421,8.994515813,417.9094891,5.11192612,6900,6600,3600,,55.98983052,26634.54233
Community area,Forest Glen,12,19579,-87.758358,41.993938,47.45437074,0,10300,77.62760024,6300,0,11000,83.17369042,8.906693834,449.4197164,4.606952047,3100,5600,1300,1300,70.6717971,19886.37507
Community area,North Park,13,17522,-87.723578,41.983651,39.96379398,0,9400,69.81005324,5400,0,7800,57.81273998,8.908190319,204.3365103,5.831718452,3800,6100,2300,900,44.94954063,18307.61022
Community area,Albany Park,14,48549,-87.721558,41.968078,41.69299598,0,22100,52.11843975,17700,0,18000,42.46526497,8.97050235,231.7647298,4.675788861,12500,10500,8000,6800,34.3597683,45707.82126
Community area,Portage Park,15,63038,-87.763401,41.954043,40.94076186,0,34600,67.36835286,21000,0,29200,56.99357693,9.08838753,258.8975327,5.133185238,23700,19200,6700,3900,46.43751774,63049.27293
Community area,Irving Park,16,51911,-87.723457,41.953589,37.66902079,3896.798911,23700,60.30473051,14900,7.510650632,22600,57.55426575,9.02994103,1044.888068,4.623220242,11500,12800,2900,3800,45.88356482,53301.72043
Community area,Dunning,17,43120,-87.806015,41.946522,47.98616087,0,20000,65.20658679,14800,0,20700,66.88302389,9.169997399,194.3211503,6.116163941,11400,12500,8000,1600,51.58326009,41208.04599
Community area,Montclare,18,14412,-87.798033,41.929306,39.55999934,0,7300,68.5271614,4200,0,4800,44.87710661,9.227691777,151.4886939,5.660491638,5000,4200,1600,,28.99598343,14290.31083
Community area,Belmont Cragin,19,78151,-87.765502,41.927275,37.52691181,9948.947887,22500,43.60075917,19400,12.75132458,18100,35.09280948,9.194716214,156.0293141,5.281185576,22000,15100,7800,5600,12.99474322,72131.65463
Community area,West Ridge,2,77139,-87.695017,42.001583,57.14777764,0,30400,59.97327476,29000,0,26500,52.40257486,8.760562678,234.3049858,6.132265885,17800,16700,5800,3500,39.87628261,78390.30822
Community area,Hermosa,20,24127,-87.734741,41.924353,43.48220301,9968.124367,12100,50.66373923,10400,41.48000674,9600,40.26277991,9.162330315,120.2751299,4.789829444,7500,7400,4800,5300,9.575500936,22644.71784
Community area,Avondale,21,36245,-87.711219,41.938673,34.24359882,9603.524291,14500,53.17842107,9400,26.50957916,10500,38.47576004,9.06636919,1760.822817,3.82790828,8300,6600,1000,4200,38.03010902,35520.90178
Community area,Logan Square,22,71742,-87.699149,41.922768,28.23594641,0,34400,62.50639434,15400,0,26800,48.65411421,9.105319157,1114.884253,2.905685845,7200,14500,2900,5400,52.65145954,71426.58839
Community area,Humboldt Park,23,53832,-87.720917,41.90008,31.13995569,36916.45392,16900,41.60199428,12600,68.62443285,10000,24.57386477,9.238760723,149.1276213,6.988449558,19100,14300,7100,3700,12.24982871,55766.95533
Community area,West Town,24,87942,-87.676358,41.901216,36.08696742,0,34700,58.82719068,21300,0,29300,49.60414913,9.151376156,1451.568037,2.56693483,10900,13900,2500,5800,61.41680794,88181.67603
Community area,Austin,25,96753,-87.763117,41.894113,41.4871335,71934.35548,29600,39.53935042,30900,74.60585595,21100,28.17209174,9.315836641,425.2233423,8.858013375,35100,27500,15900,12600,5.533700714,97671.1108
Community area,West Garfield Park,26,17423,-87.730233,41.878602,35.8180683,17398.65094,5600,32.09720711,6100,100,3000,17.31749356,9.337613076,1108.842281,11.21180968,7000,6800,4300,3000,1.300870835,15086.16255
Community area,East Garfield Park,27,19995,-87.705892,41.878923,24.44240614,19940.41098,4000,24.30508217,4100,100,3200,19.40545326,9.293395573,1170.956104,9.624696098,7200,4700,4100,1400,7.756903751,20739.82582
Community area,Near West Side,28,67817,-87.663513,41.874016,37.62742603,9359.300702,29100,55.44477895,19600,13.84953186,26300,50.14452009,9.233006039,2219.47184,3.557814086,11600,13600,2800,4100,41.64264004,68097.6475
Community area,North Lawndale,29,34817,-87.717218,41.860197,30.84915284,33871.59256,4100,17.27617766,7300,97.51054681,3000,12.47931037,9.375797321,170.973763,9.150260507,11000,9400,5500,5400,3.951261425,33979.92102
